Time [s],Current [A],Voltage [V],C-rate,Total capacity lost to side reactions [A.h],Capacity [Ah],Remaining Capacity [Ah],RUL [hours],Predicted RUL
121164.40801858512,0.0680616,3.5924237258221376,0.0999999999999999,0.0731195548514156,4.926880445148584,4.926880445148584,98.53760890297168,98.81802989419987
121224.40801858512,0.0680616,3.590027040574774,0.0999999999999999,0.0731381959508583,4.926861804049142,4.926861804049142,98.53723608098282,98.80979014810612
121284.40801858512,0.0680616,3.5875206766385728,0.0999999999999999,0.0731567547409767,4.926843245259024,4.926843245259024,98.53686490518047,98.80148936685612
121344.40801858512,0.0680616,3.584898034901453,0.0999999999999999,0.0731752307634324,4.926824769236568,4.926824769236568,98.53649538473135,98.79306651529362
121404.40801858512,0.0680616,3.5821514491953144,0.0999999999999999,0.0731936159836343,4.926806384016365,4.926806384016365,98.5361276803273,98.78421641763737
121464.40801858512,0.0680616,3.579273386561205,0.0999999999999999,0.0732119226053795,4.926788077394621,4.926788077394621,98.5357615478924,98.77518321451237
121524.40801858512,0.0680616,3.576256070542846,0.0999999999999999,0.0732301463349755,4.926769853665024,4.926769853665024,98.53539707330047,98.76584483560612
121584.40801858512,0.0680616,3.573090827109212,0.0999999999999999,0.0732482863626638,4.926751713637336,4.926751713637336,98.53503427274671,98.75638438638737
121644.40801858512,0.0680616,3.5697681139772235,0.0999999999999999,0.0732663414337768,4.926733658566223,4.926733658566223,98.53467317132446,98.74649669107487
121704.40801858512,0.0680616,3.566278296749553,0.0999999999999999,0.0732843110397567,4.926715688960243,4.926715688960243,98.53431377920487,98.73667003091862
121764.40801858512,0.0680616,3.562611260794188,0.0999999999999999,0.0733021946117839,4.9266978053882164,4.9266978053882164,98.53395610776433,98.72647715982487
121824.40801858512,0.0680616,3.558755538020274,0.0999999999999999,0.073319991470576,4.926680008529424,4.926680008529424,98.53360017058847,98.71604014810612
121884.40801858512,0.0680616,3.554701325248356,0.0999999999999999,0.0733377009831984,4.926662299016802,4.926662299016802,98.53324598033603,98.70554210123112
121944.40801858512,0.0680616,3.550434602942957,0.0999999999999999,0.0733553198512567,4.926644680148743,4.926644680148743,98.53289360297485,98.69479991373112
122004.40801858512,0.0680616,3.5459432183264648,0.0999999999999999,0.0733728520913532,4.926627147908647,4.926627147908647,98.53254295817294,98.68411876138737
122064.40801858512,0.0680616,3.5412132869434374,0.0999999999999999,0.0733902954183816,4.926609704581619,4.926609704581619,98.53219409163238,98.67331553873112
122124.40801858512,0.0680616,3.536230682748477,0.0999999999999999,0.0734076488737488,4.926592351126251,4.926592351126251,98.53184702252501,98.66232921060612
122184.40801858512,0.0680616,3.530980844504791,0.0999999999999999,0.0734249116818755,4.926575088318124,4.926575088318124,98.53150176636248,98.65170909341862
122244.40801858512,0.0680616,3.525446686207641,0.0999999999999999,0.0734420830695666,4.926557916930434,4.926557916930434,98.53115833860866,98.64108897623112
122304.40801858512,0.0680616,3.5196119525564464,0.0999999999999999,0.0734591622444773,4.926540837755523,4.926540837755523,98.53081675511045,98.63077403482487
122364.40801858512,0.0680616,3.513459080608264,0.0999999999999999,0.0734761482992714,4.926523851700729,4.926523851700729,98.53047703401458,98.62070323404362
122424.40801858512,0.0680616,3.506969237446464,0.0999999999999999,0.0734930403796716,4.926506959620329,4.926506959620329,98.53013919240657,98.61136485513737
122484.40801858512,0.0680616,3.5001228543223624,0.0999999999999999,0.0735098347453292,4.926490165254671,4.926490165254671,98.52980330509341,98.60251475748112
122544.40801858512,0.0680616,3.492899153880698,0.0999999999999999,0.0735265355458258,4.926473464454174,4.926473464454174,98.52946928908348,98.59464122232487
122604.40801858512,0.0680616,3.485277644217487,0.0999999999999999,0.07354313983955,4.92645686016045,4.92645686016045,98.529137203209,98.58774424966862
122664.40801858512,0.0680616,3.477236680986964,0.0999999999999999,0.0735596466364611,4.926440353363539,4.926440353363539,98.52880706727078,98.58225108560612
122724.40801858512,0.0680616,3.468749803738429,0.0999999999999999,0.0735760548294341,4.926423945170566,4.926423945170566,98.52847890341131,98.57834483560612
122784.40801858512,0.0680616,3.4597946981867747,0.0999999999999999,0.0735923636116133,4.926407636388387,4.926407636388387,98.52815272776773,98.57639171060612
122844.40801858512,0.0680616,3.4503443374479663,0.0999999999999999,0.0736085721618469,4.926391427838153,4.926391427838153,98.52782855676305,98.57681895669987
122904.40801858512,0.0680616,3.440372787149011,0.0999999999999999,0.0736246796468747,4.9263753203531255,4.9263753203531255,98.5275064070625,98.58017589029362
