Time [s],Current [A],Voltage [V],C-rate,Total capacity lost to side reactions [A.h]
0.0,0.06806160000000006,3.841496391023039,0.09999999999999998,-4.336808689942018e-19
60.0,0.06806160000000006,3.8394885271975197,0.09999999999999998,0.00024081357632185058
120.0,0.06806160000000006,3.8385752607518437,0.09999999999999998,0.00047497227429434455
180.0,0.06806160000000006,3.837785208380124,0.09999999999999998,0.0007030903989081554
240.0,0.06806160000000006,3.837024811812655,0.09999999999999998,0.000925637950366795
300.0,0.06806160000000006,3.83627455683098,0.09999999999999998,0.0011430154784203112
360.0,0.06806160000000006,3.835528991526445,0.09999999999999998,0.0013555726123329365
420.0,0.06806160000000006,3.834786048534008,0.09999999999999998,0.0015636214603528922
480.0,0.06806160000000006,3.8340450312228045,0.09999999999999998,0.001767439263925226
540.0,0.06806160000000006,3.8333055876018363,0.09999999999999998,0.0019672760842105877
600.0,0.06806160000000006,3.83256754687311,0.09999999999999998,0.0021632866568730303
660.0,0.06806160000000006,3.83183076939012,0.09999999999999998,0.0023558297850815313
720.0,0.06806160000000006,3.831095236701622,0.09999999999999998,0.002545012007664678
780.0,0.06806160000000006,3.8303609436818062,0.09999999999999998,0.0027310010579589166
840.0,0.06806160000000006,3.8296279047731865,0.09999999999999998,0.0029139406256032925
900.0,0.06806160000000006,3.828896145681819,0.09999999999999998,0.0030939720650049055
960.0,0.06806160000000006,3.8281656937770605,0.09999999999999998,0.0032712385503710917
1020.0,0.06806160000000006,3.827436588237581,0.09999999999999998,0.0034458719013691066
1080.0,0.06806160000000006,3.8267088693259836,0.09999999999999998,0.0036179879786423837
1140.0,0.06806160000000006,3.8259826040967733,0.09999999999999998,0.003787579757725897
1200.0,0.06806160000000006,3.825257806455661,0.09999999999999998,0.003954963167168528
1260.0,0.06806160000000006,3.8245345375565165,0.09999999999999998,0.004120139090318612
1320.0,0.06806160000000006,3.8238128478135103,0.09999999999999998,0.0042831781197341465
1380.0,0.06806160000000006,3.8230927843798375,0.09999999999999998,0.004444162655094885
1440.0,0.06806160000000006,3.822374401215625,0.09999999999999998,0.004603164848075628
1500.0,0.06806160000000006,3.8216577445252824,0.09999999999999998,0.00476024993325807
1560.0,0.06806160000000006,3.8209428689856364,0.09999999999999998,0.0049154822053796
1620.0,0.06806160000000006,3.820229817566812,0.09999999999999998,0.005068930948671951
1680.0,0.06806160000000006,3.8195186427794976,0.09999999999999998,0.005220632680313193
1740.0,0.06806160000000006,3.818809385621127,0.09999999999999998,0.005370706969199858
1800.0,0.06806160000000006,3.8181020946334763,0.09999999999999998,0.005519177740744077
1860.0,0.06806160000000006,3.817396820651351,0.09999999999999998,0.005666093713444547
1920.0,0.06806160000000006,3.8166936060501566,0.09999999999999998,0.005811497596721163
1980.0,0.06806160000000006,3.815992499854895,0.09999999999999998,0.005955433722707396
2040.0,0.06806160000000006,3.815293543892915,0.09999999999999998,0.006097946659027423
2100.0,0.06806160000000006,3.8145967823734104,0.09999999999999998,0.006239079939851512
2160.0,0.06806160000000006,3.813902259554819,0.09999999999999998,0.006378876282610946
2220.0,0.06806160000000006,3.8132100183313122,0.09999999999999998,0.006517336187797442
2280.0,0.06806160000000006,3.8125200924165785,0.09999999999999998,0.006654567448744912
2340.0,0.06806160000000006,3.8118325253298817,0.09999999999999998,0.00679057527622783
2400.0,0.06806160000000006,3.8111473560941422,0.09999999999999998,0.0069253863449617635
2460.0,0.06806160000000006,3.8104646230762267,0.09999999999999998,0.007059030640442015
2520.0,0.06806160000000006,3.809784361866261,0.09999999999999998,0.007191536075527224
2580.0,0.06806160000000006,3.809106611690832,0.09999999999999998,0.007322930344180796
2640.0,0.06806160000000006,3.8084314065965157,0.09999999999999998,0.007453239614767913
2700.0,0.06806160000000006,3.8077587791556424,0.09999999999999998,0.007582493779486482
2760.0,0.06806160000000006,3.8070887676010483,0.09999999999999998,0.007710676757452542
2820.0,0.06806160000000006,3.8064213944034644,0.09999999999999998,0.007837897649153356
2880.0,0.06806160000000006,3.805756695923155,0.09999999999999998,0.00796414314775047
2940.0,0.06806160000000006,3.8050946998404687,0.09999999999999998,0.00808943345106111
3000.0,0.06806160000000006,3.8044354351863126,0.09999999999999998,0.00821378646011359
3060.0,0.06806160000000006,3.8037789309281913,0.09999999999999998,0.008337223190799065
3120.0,0.06806160000000006,3.803125213589327,0.09999999999999998,0.008459762972169773
3180.0,0.06806160000000006,3.8024743114867037,0.09999999999999998,0.008581424114595072
3240.0,0.06806160000000006,3.8018262494140265,0.09999999999999998,0.00870222293936573
3300.0,0.06806160000000006,3.8011810541093802,0.09999999999999998,0.008822134020772405
3360.0,0.06806160000000006,3.8005387398196833,0.09999999999999998,0.008941267650596198
3420.0,0.06806160000000006,3.7998993340230807,0.09999999999999998,0.009059600095296227
3480.0,0.06806160000000006,3.799262854680619,0.09999999999999998,0.009177146836914724
3540.0,0.06806160000000006,3.7986293279612617,0.09999999999999998,0.009293923528867565
3600.0,0.06806160000000006,3.7979987674244224,0.09999999999999998,0.009409940527211684
3660.0,0.06806160000000006,3.797371192786999,0.09999999999999998,0.009525212658912987
3720.0,0.06806160000000006,3.7967466232538474,0.09999999999999998,0.009639755169417964
3780.0,0.06806160000000006,3.7961250766433077,0.09999999999999998,0.009753577980258596
3840.0,0.06806160000000006,3.7955065735526983,0.09999999999999998,0.009866644705558087
3900.0,0.06806160000000006,3.7948911180886453,0.09999999999999998,0.00997907049345183
3960.0,0.06806160000000006,3.794278728551484,0.09999999999999998,0.010090820911363835
